Temperature_K,Time_s,ElasticOnly_VtLoss_V,PalmaOnly_VtLoss_V,ElasticPlusPalma_VtLoss_V,IncrementalPalma_VtLoss_V
350,536870912,0.0284628557059046,1.45964744735494e-08,0.0284628601849486,4.47904402456345e-09
350,1073741824,0.0388911967922752,2.919298758286e-08,0.0388912010000482,4.20777301890496e-09
350,10000000000,0.0701809615020972,2.7188010243151e-07,0.0701809654254033,3.92330612442038e-09
400,1e-11,0,0,0,0
400,1e-09,0,0,0,0
400,1e-08,0,0,0,0
400,1e-07,5.10702591327572e-15,0,5.10702591327572e-15,0
400,1e-06,1.77635683940025e-15,0,1.77635683940025e-15,0
400,1e-05,-1.95399252334028e-14,0,-1.95399252334028e-14,0
400,0.0001,-7.54951656745106e-15,0,-7.54951656745106e-15,0
400,0.001,7.92699239582362e-14,0,7.92699239582362e-14,0
400,0.01,9.15711950710829e-13,0,9.15711950710829e-13,0
400,0.1,9.32232069317251e-12,0,9.31899002409864e-12,-3.33066907387547e-15
400,0.2,1.86017867775945e-11,5.10702591327572e-15,1.86026749560142e-11,8.88178419700125e-16
400,0.5,4.65372185232127e-11,1.33226762955019e-15,4.65383287462373e-11,1.11022302462516e-15
400,1,9.31001942205967e-11,2.88657986402541e-15,9.30957533284982e-11,-4.44089209850063e-15
400,2,1.86196835727515e-10,-2.22044604925031e-16,1.86192838924626e-10,-3.99680288865056e-15
400,4,3.72401887105411e-10,-2.50910403565285e-14,3.72393227365819e-10,-8.65973959207622e-15
400,8,7.44819983466982e-10,-1.28785870856518e-14,7.44825534582105e-10,5.55111512312578e-15
400,16,1.48967571611536e-09,-2.44249065417534e-14,1.48967904678443e-09,3.33066907387547e-15
400,32,2.97937940985094e-09,-2.37587727269783e-14,2.97937141624516e-09,-7.99360577730113e-15
400,64,5.95876659126304e-09,-1.33226762955019e-14,5.95875526698819e-09,-1.13242748511766e-14
400,128,1.19175591617449e-08,1.24344978758018e-14,1.19175631585478e-08,3.99680288865056e-15
400,256,2.38351272052739e-08,3.10862446895044e-15,2.38351467451992e-08,1.95399252334028e-14
400,512,4.76702559648601e-08,8.65973959207622e-15,4.76702777252314e-08,2.17603712826531e-14
400,1024,9.53404653003531e-08,4.2632564145606e-14,9.53405181469691e-08,5.28466159721575e-14
400,2048,1.90680681688704e-07,9.9253938401489e-14,1.9068077405926e-07,9.2370555648813e-14
400,4096,3.81360403700626e-07,1.93844940099552e-13,3.81360593326718e-07,1.89626092605977e-13
400,8192,7.62716885427395e-07,3.8924419243358e-13,7.62717282665193e-07,3.97237798210881e-13
400,16384,1.52541803521977e-06,8.24451618086641e-13,1.52541887610269e-06,8.40882918851094e-13
400,32768,3.05077306639312e-06,1.65845115418506e-12,3.05077471041137e-06,1.64401825486493e-12
400,65536,6.10129413036731e-06,3.27937677013779e-12,6.10129745348686e-06,3.32311955730802e-12
400,131072,1.22015802870301e-05,6.59561294469313e-12,1.22015869177261e-05,6.63069599227128e-12
400,262144,2.43991294075485e-05,1.32014399412128e-11,2.43991425941115e-05,1.31865629526828e-11
400,524288,4.87821401031763e-05,2.64199773170049e-11,4.87821665093868e-05,2.64062105514995e-11
400,1048576,9.74998542908612e-05,5.28750376815879e-11,9.74999070380012e-05,5.2747139989151e-11
400,2097152,0.000194742396069536,1.05755404433694e-10,0.000194742501279821,1.05210284928603e-10
400,4194304,0.000388458662649693,2.11537454219979e-10,0.000388458871988684,2.09338990586616e-10
400,8388608,0.000772837637070589,4.23101331747944e-10,0.000772838051353419,4.14282830263346e-10
400,16777216,0.00152955300862989,8.46221981376516e-10,0.00152955381993913,8.11309242010338e-10
400,33554432,0.00299615509549889,1.69252145632015e-09,0.00299615665145625,1.55595736295311e-09
400,67108864,0.00575229122251919,3.38506178643172e-09,0.00575229408649602,2.86397683346706e-09
400,134217728,0.0106310512352836,6.77014511119012e-09,0.0106310561043461,4.8690624865344e-09
400,268435456,0.0183533511669038,1.3540333076989e-08,0.01835335831693,7.15002612672322e-09
400,536870912,0.0284628557059046,2.70806237434584e-08,0.0284628640158011,8.30989654865277e-09
400,1073741824,0.0388911967922752,5.41612994453544e-08,0.0388912045988778,7.80660269761313e-09
400,10000000000,0.0701809615020972,5.04413486535071e-07,0.0701809687809118,7.278814662115e-09
